Run	group	Protein.Group	Genes	PG.MaxLFQ	n_peptides
msrB3	msrB	P00864	ppc	27.430901690459535	74
msrC1	msrC	P00864	ppc	27.290595731724167	78
msrC3	msrC	P00864	ppc	27.20386742718556	76
WT1	WT	P00887	aroH	25.02384925684602	13
WT2	WT	P00887	aroH	24.88473712869862	14
WT3	WT	P00887	aroH	24.767350791798506	13
bisC1	bisC	P00887	aroH	24.61327610228507	12
bisC2	bisC	P00887	aroH	24.710563578682585	13
bisC3	bisC	P00887	aroH	24.786523798342316	14
msrA1	msrA	P00887	aroH	25.032735537332336	14
msrA2	msrA	P00887	aroH	24.99311028831583	13
msrA3	msrA	P00887	aroH	24.746948175932804	14
msrB1	msrB	P00887	aroH	24.714140057326016	12
msrB2	msrB	P00887	aroH	24.826472261354148	13
msrB3	msrB	P00887	aroH	24.670911100253573	13
msrC1	msrC	P00887	aroH	24.629915306105836	13
msrC3	msrC	P00887	aroH	24.915098247955967	14
WT1	WT	P00888	aroF	23.838629489072584	16
WT2	WT	P00888	aroF	23.844847488362472	18
WT3	WT	P00888	aroF	23.771837617976434	17
bisC1	bisC	P00888	aroF	23.54108136814127	14
bisC2	bisC	P00888	aroF	23.702502880692872	15
bisC3	bisC	P00888	aroF	23.89183968664873	18
msrA1	msrA	P00888	aroF	23.744996494251538	17
msrA2	msrA	P00888	aroF	23.609933154045372	16
msrA3	msrA	P00888	aroF	23.76257192515948	17
msrB1	msrB	P00888	aroF	23.80926885075431	16
msrB2	msrB	P00888	aroF	23.765211625596372	16
msrB3	msrB	P00888	aroF	23.809682376666178	18
msrC1	msrC	P00888	aroF	23.727321908671822	16
msrC3	msrC	P00888	aroF	23.956177255081062	18
WT1	WT	P00893	ilvI	21.64223495495487	17
WT2	WT	P00893	ilvI	21.53094825950163	15
WT3	WT	P00893	ilvI	21.517721163133178	17
bisC1	bisC	P00893	ilvI	21.49096273116314	16
bisC2	bisC	P00893	ilvI	21.57803436800634	15
bisC3	bisC	P00893	ilvI	21.43244657853059	17
msrA1	msrA	P00893	ilvI	21.469199859414328	16
msrA2	msrA	P00893	ilvI	21.71632599622392	17
msrA3	msrA	P00893	ilvI	21.575103175389565	18
msrB1	msrB	P00893	ilvI	21.392123216726205	16
msrB2	msrB	P00893	ilvI	21.394306856112678	18
msrB3	msrB	P00893	ilvI	21.29142872763517	17
msrC1	msrC	P00893	ilvI	21.36739502036648	17
