Protein.Group	log2fc	ci_l	ci_r	mean_abundance	pval	adj_pval	comparison
P0AFM6	0.865824698519404	0.4022197058741831	1.3294296911646248	29.693671275253987	0.0017941111045734171	0.03365619535060873	WT_vs_bisC
P0AD17	-1.5524024146956705	-2.3854138537471794	-0.7193909756441617	19.58855366457338	0.001820605432677097	0.03391810074963699	WT_vs_bisC
P75793	0.2671788090310052	0.123699704758339	0.4106579133036714	26.846913614330937	0.0018303943806977513	0.03391810074963699	WT_vs_bisC
P0ACR4	0.28104603374050896	0.12912839665562537	0.43296367082539255	23.029348099157836	0.0019141523778559014	0.035255206523055055	WT_vs_bisC
P0A8V6	-0.22226469699774754	-0.34277471146735516	-0.10175468252813989	27.27750165197168	0.001954241617728567	0.03560521139652184	WT_vs_bisC
P77156	1.5074215385457919	0.689953272699993	2.324889804391591	17.93391804948077	0.0019568000930941035	0.03560521139652184	WT_vs_bisC
P0A6S7	0.23656814497163126	0.10805743618854377	0.3650788537547187	25.615197706236792	0.001979808717932437	0.03560521139652184	WT_vs_bisC
P0AAA7	-0.4781359001717931	-0.7378773314650428	-0.2183944688785434	21.382858084966045	0.0019800199822350086	0.03560521139652184	WT_vs_bisC
P0AAE8	-0.9147489559996274	-1.4195343280901227	-0.409963583909132	24.068853096136785	0.0022014591373291995	0.03935431951966727	WT_vs_bisC
P62617	0.43597498088394104	0.19481503917474527	0.6771349225931368	24.736853074925495	0.002237090394268521	0.03975741349814056	WT_vs_bisC
P30958	0.17206275147061945	0.07648008754057754	0.26764541540066134	24.558502110456384	0.002301778868512324	0.04066922082214508	WT_vs_bisC
P0AAD8	-0.7112894834443253	-1.1075194127893568	-0.31505955409929387	25.466914060178464	0.0023449686820159413	0.04119283135633783	WT_vs_bisC
P21169	-0.21253156259291472	-0.3312366675377796	-0.0938264576480499	22.60510604323057	0.0023865529554413585	0.041682381790725795	WT_vs_bisC
P0ACY1	0.2121793400413594	0.09330969909497808	0.3310489809877407	28.32955428115172	0.0024353753461805222	0.042292032440243474	WT_vs_bisC
P00861	0.6647028434169151	0.2911414953437337	1.0382641914900965	22.510300644224166	0.002486780189459152	0.04272279402807453	WT_vs_bisC
P0AE88	0.20052647263855405	0.08782072849784885	0.3132322167792593	26.262879957512098	0.002488296986827638	0.04272279402807453	WT_vs_bisC
P09996	-1.4349857990684534	-2.244011711452982	-0.6259598866839248	18.355029545129305	0.0025396861560221425	0.04336014734916455	WT_vs_bisC
P45800	-0.2550493212736029	-0.39908151232332667	-0.11101713022387916	23.55357480379829	0.0025676982196702197	0.04359349100322792	WT_vs_bisC
P77147	-0.5530997642663849	-0.8660042535292669	-0.24019527500350274	22.36142941472421	0.0025980508825290704	0.043863759066699134	WT_vs_bisC
P0AFN2	0.888571318411266	0.3839507342393488	1.3931919025831832	23.69317129238066	0.002664494781441905	0.04473701459006602	WT_vs_bisC
P30177	0.2053293014062305	0.08764656854316422	0.3230120342692968	26.754455392257512	0.0028299288522876066	0.04710541471871133	WT_vs_bisC
P76206	-0.49367339971843194	-0.7767193676418761	-0.21062743179498777	21.56800751168091	0.0028365550817782735	0.04710541471871133	WT_vs_bisC
P0ACP5	0.1921533461498406	0.08153062790465673	0.30277606439502447	24.00690525906315	0.002913387271423581	0.048080787636320385	WT_vs_bisC
P00805	0.3241047391912879	0.13723541886749444	0.5109740595150813	30.11365046477861	0.0029421894348626745	0.048080787636320385	WT_vs_bisC
P78055	0.347246886519347	0.14700948228177205	0.547484290756922	23.701775588583693	0.0029445804059309018	0.048080787636320385	WT_vs_bisC
P21165	0.1551924474250299	0.0656365895158785	0.24474830533418132	27.485033881198685	0.0029585742968054993	0.048080787636320385	WT_vs_bisC
P61714	0.290607616342232	0.12247595177052972	0.45873928091393423	28.170278022480428	0.003008516778424009	0.04863235366824768	WT_vs_bisC
P69922	-0.3120063377115905	-0.49300524674510415	-0.13100742867807677	24.74638198784491	0.0030615272939831083	0.04909209726648759	WT_vs_bisC
P63224	0.1992982120869371	0.08363766506192229	0.3149587591119519	28.344999683351226	0.003069265706032459	0.04909209726648759	WT_vs_bisC
P0ACZ4	0.35858698093483454	0.14999255334973333	0.5671814085199358	25.97334680067912	0.0031165497773509004	0.049343366286219735	WT_vs_bisC
P69931	0.25515565127099293	0.10672186938561867	0.4035894331563672	21.96376124907513	0.003117448610383083	0.049343366286219735	WT_vs_bisC
